Plate	Well	GeneID	Entrez_gene_ID	sublib
1	O07	DVL1	1855	WNT
1	O08	MED13	9969	WNT
1	O09	DVL2	1856	WNT
1	O10	MESDC2	23184	WNT
1	O11	DVL3	1857	WNT
1	O12	MET	4233	WNT
1	O13	EDN1	1906	WNT
1	O14	MLST8	64223	WNT
1	O15	EDN3	1908	WNT
1	O16	MMP2	4313	WNT
1	O17	EP300	2033	WNT
1	O18	MMP26	56547	WNT
1	O19	EPC1	80314	WNT
1	O20	MMP7	4316	WNT
1	O21	EPHB1	2047	WNT
1	O22	MMP9	4318	WNT
1	O23			WNT
1	O24			WNT
1	P01			WNT
1	P02			WNT
1	P03	RBX1	9978	WNT
1	P04	WNT5A	7474	WNT
1	P05	RERE	473	WNT
1	P06	WNT5B	81029	WNT
1	P07	RNF146	81847	WNT
1	P08	WNT6	7475	WNT
1	P09	RNF43	54894	WNT
1	P10	WNT7A	7476	WNT
1	P11	ROBO1	6091	WNT
1	P12	WNT7B	7477	WNT
1	P13	ROBO2	6092	WNT
1	P14	WNT8A	7478	WNT
1	P15	ROCK1	6093	WNT
1	P16	WNT8B	7479	WNT
1	P17	ROCK2	9475	WNT
1	P18	WNT9A	7483	WNT
1	P19	ROR2	4920	WNT
1	P20	WNT9B	7484	WNT
1	P21	RPTOR	57521	WNT
1	P22	ZBTB33	10009	WNT
1	P23			WNT
1	P24			WNT
